"--@#1"
"##1434516153354"
"Translation Key","en"
"#name?","#NAME?"
"'service'","'Service'"
"----mandatory referral details :","----Mandatory Referral Details :"
".","."
"1","1"
"1. actpas - allergies & alerts","1. ACTPAS - Allergies & Alerts"
"1. ccr referrals - list of referrals","1. CCR Referrals - List of referrals"
"2","2"
"2. ccr referrals - list of new referrals","2. CCR Referrals - List of new referrals"
"3","3"
"3. ccr appointments - list of booked patients","3. CCR Appointments - List of booked patients"
"4. ccr contacts - list contacts","4. CCR Contacts - List contacts"
"4. ccr contacts - list of contacts","4. CCR Contacts - List of contacts"
"4. ccr contacts - list of contacts (maximised)","4. CCR Contacts - List of contacts (maximised)"
"5. ccr inpatient search","5. CCR Inpatient Search"
"6. ccr outpatient search","6. CCR Outpatient Search"
"7. community user search","7. Community User Search"
"_test","_Test"
"_test referral search - demographic","_Test Referral Search - Demographic"
"_test1","_test1"
"_test2","_test2"
"_test3","_test3"
"a fourth result","A fourth Result"
"a result","A Result"
"a second result","A second Result"
"a third result","A third Result"
"a/professor","A/Professor"
"a7. community user search","a7. Community User Search"
"aa test wade","AA Test Wade"
"aa wade - waterlow score","AA Wade - Waterlow Score"
"aaa - wade test","AAA - Wade Test"
"about","About"
"access code","Access Code"
"access level cache admin@com.orchestral.core.web.admin.servicestatus","Access Level Cache Admin"
"access.log.page.title","Access Log"
"access.log.pattern.help.title","Pattern Help"
"access.log.section.title","Access Log Configuration"
"accesscode","AccessCode"
"accesscode@com.orchestral.portal.web.cdv","AccessCode"
"accident related","Accident Related"
"accomodationsetting","AccomodationSetting"
"account policy details","Account Policy Details"
"account status change","Account Status Change"
"act health","ACT Health"
"action","Action"
"action.add","Add"
"action.add.quicktext","Add New QuickText"
"action.addaccesspolicyrule","Add another rule to this {0} access policy"
"action.addanotherpage","Add Another Page"
"action.addarulecondition","Add a rule condition"
"action.addattributegroup","Add another attribute group"
"action.adddocumententrypoints","Add Document Entry Points"
"action.addentrypointtocontexview","Add this entry point to a context view"
"action.addentrypointtomenu","Add this entry point to a menu"
"action.addinformationaccesspolicyrule","Add another rule to this information access policy"
"action.additionalproperties.apply","Apply"
"action.additionalproperties.cancel","Cancel"
"action.additionalproperties.ok","OK"
"action.addnewdocument","Add New Document"
"action.addnotificationrule","Add another rule to this notification"
"action.addredirectionafter","Add a new redirection after this one"
"action.addredirectionbefore","Add a new redirection before this one"
"action.addrelationship","Add {0}"
"action.addrepositorytodocumentview","Add this repository to a document view"
"action.addrulecondition","Add Rule Condition"
"action.addruleentitypolicy","Add a new rule to this entity access policy"
"action.addruleinformationpolicy","Add a new rule to this information access policy"
"action.allzoom","All"
"action.apply","Apply"
"action.audithistory.printerfriendlyversion","Printer Friendly Version"
"action.autocomplete.usefreetext","Use free text as typed"
"action.back","Back"
"action.bulksignoff","Bulk Sign Off"
"action.cancel","Cancel"
"action.ccowservercomponents","CCOW Server components"
"action.change","Change"
"action.changepassword","Change Password"
"action.changesecretquestion","Change Security Question"
"action.complete","Complete"
"action.configure","Configure"
"action.configureallworklistnotifications","Configure notifications for all worklists"
"action.configurecustomdocumentrepository","Configure Custom Document Repository"
"action.configurenotifications","Notifications"
"action.configuresqldocumentrepository","Configure SQL Document Repository"
"action.configuresummarydocumentrepository","Configure Summary Document Repository"
"action.contacthelpdesk","contact the help desk"
"action.copyrename","Copy/Rename"
"action.createcustomentitypolicy","Create a custom {0} access policy based on this policy"
"action.createcustominformationaccesspolicy","Create a custom information access policy based on this policy"
"action.createdefaulthelpredirection","Create a default help redirection"
"action.createdefaulticonredirection","Create a default icon redirection"
"action.createdocumentrepository","Create a new document repository"
"action.createentrypoint","Create a new entry point"
"action.createhelpredirection","Create a help redirection"
"action.createiconredirection","Create an icon redirection"
"action.createloginscript","Create a login script"
"action.createlogoutscript","Create a logout script"
"action.createorruleset","Create OR rule set"
"action.dayordays","day(s)"
"action.defaultzoom","Default"
"action.delete","Delete"
