"--@#1"
"##1434515017048"
"Translation Key","en"
" "," "
"--- additional (optional) fields for acute","--- Additional (Optional) Fields for Acute"
"-----referred to: (optional)","-----Referred To: (Optional)"
"---additional  (optional) fields for chi","---Additional  (Optional) Fields for CHI"
"---referred  by :  (optional)","---Referred  By :  (Optional)"
".","."
"1","1"
"2","2"
"3","3"
"a/professor","A/Professor"
"about","About"
"access","Access"
"access level cache admin@com.orchestral.core.web.admin.servicestatus","Access Level Cache Admin"
"access.log.page.title","Access Log"
"access.log.pattern.help.title","Pattern Help"
"access.log.section.title","Access Log Configuration"
"accesscode@com.orchestral.portal.web.cdv","AccessCode"
"accomodationsetting","AccomodationSetting"
"account creation date","Account Creation Date"
"account enabled","Account Enabled"
"account status change","Account Status Change"
"act health","ACT Health"
"action","Action"
"action.add","Add"
"action.addaccesspolicyrule","Add another rule to this {0} access policy"
"action.addanotherpage","Add Another Page"
"action.addarulecondition","Add a rule condition"
"action.addattributegroup","Add another attribute group"
"action.adddocumententrypoints","Add Document Entry Points"
"action.addentrypointtocontexview","Add this entry point to a context view"
"action.addentrypointtomenu","Add this entry point to a menu"
"action.addinformationaccesspolicyrule","Add another rule to this information access policy"
"action.addnewdocument","Add New Document"
"action.addnotificationrule","Add another rule to this notification"
"action.addredirectionafter","Add a new redirection after this one"
"action.addredirectionbefore","Add a new redirection before this one"
"action.addrelationship","Add {0}"
"action.addrepositorytodocumentview","Add this repository to a document view"
"action.addrulecondition","Add Rule Condition"
"action.addruleentitypolicy","Add a new rule to this entity access policy"
"action.addruleinformationpolicy","Add a new rule to this information access policy"
"action.allzoom","All"
"action.audithistory.printerfriendlyversion","Printer Friendly Version"
"action.back","Back"
"action.bulksignoff","Bulk Sign Off"
"action.cancel","Cancel"
"action.ccowservercomponents","CCOW Server components"
"action.change","Change"
"action.changepassword","Change Password"
"action.changesecretquestion","Change Security Question"
"action.configure","Configure"
"action.configureallworklistnotifications","Configure notifications for all worklists"
"action.configurecustomdocumentrepository","Configure Custom Document Repository"
"action.configurenotifications","Notifications"
"action.configuresqldocumentrepository","Configure SQL Document Repository"
"action.configuresummarydocumentrepository","Configure Summary Document Repository"
"action.contacthelpdesk","contact the help desk"
"action.copyrename","Copy/Rename"
"action.createcustomentitypolicy","Create a custom {0} access policy based on this policy"
"action.createcustominformationaccesspolicy","Create a custom information access policy based on this policy"
"action.createdefaulthelpredirection","Create a default help redirection"
"action.createdefaulticonredirection","Create a default icon redirection"
"action.createdocumentrepository","Create a new document repository"
"action.createentrypoint","Create a new entry point"
"action.createhelpredirection","Create a help redirection"
"action.createiconredirection","Create an icon redirection"
"action.createloginscript","Create a login script"
"action.createlogoutscript","Create a logout script"
"action.createorruleset","Create OR rule set"
"action.dayordays","day(s)"
"action.defaultzoom","Default"
"action.delete","Delete"
"action.deletewindowlet","Delete Windowlet"
"action.disable","Disable"
"action.discardchanges","Discard Changes"
"action.download","Download {0}"
"action.downloadcsvresults","Download CSV results"
"action.downloadmergedtranslations","Download {0} Merged Translations"
"action.downloadmissingtranslations","Download {0} Missing Translations"
"action.editcustomentitypolicy","Edit the custom {0} access policy for this {0}"
"action.editcustominformationpolicy","Edit the custom information access policy for this {0}"
"action.editentrypointsecurity","Edit Entry Point Security"
"action.editnotificationdetails","Edit Notification Details"
"action.editrepositorysecurity","Edit Repository Security"
"action.enable","Enable"
"action.exclude","Exclude"
"action.forgotyourpassword","Forgot your password?"
"action.fromdatetodate","From {0} to {1}"
"action.generatepassword","Generate new password"
"action.gotologinpage","Go to Login Page"
"action.help","Help"
"action.home","Home"
"action.hourorhours","hour(s)"
"action.include","Include"
"action.installccowclientcomponents","Click here to install the Clinical Portal CCOW Client Components"
"action.less","Less"
"action.loginasshareduser","Login as shared user"
"action.logoutfromccowapplications","Logout from all CCOW applications"
"action.logoutfromconcerto","Logout from Clinical Portal"
"action.markallasread","Mark All As Read"
"action.markalldocumentsasread","Mark all documents as read"
"action.markasunread","Mark as Unread"
"action.markselecteddocumentread","Mark selected document as read"
"action.markselecteddocumentunread","Mark selected document as unread"
"action.monthormonths","month(s)"
"action.more","More"
"action.newsectionbelow","New Section Below"
"action.newsectionright","New Section to the Right"
"action.next","Next"
"action.nextunsignedreport","Next Unsigned Report"
"action.opendocument","Open Document"
"action.opendocumentview","Open the <I>{0}</I> document view "
"action.openportalpage","Open the <I>{0}</I> portal page"
"action.opensearchinapplication","Open the <I>{0}</I> search in the <I>{1}</I> application"
"action.opensearchresultsinapplication","Open the results of the <I>{0}</I> search in the <I>{1}</I> application"
"action.openxmlxsltransform","Transform the XML resource at <I>{0}</I> with the XSL stylesheet at <I>{1}</I>"
"action.passwordresetrestart","restart the password reset process"
"action.previous","Previous"
"action.print","Print"
"action.printerfriendlyversion","Printer Friendly Version"
"action.redirectiontype.documentview","Document View"
"action.redirectiontype.http","HTTP"
"action.redirectiontype.portalpage","Portal Page"
"action.redirectiontype.search","Search"
"action.redirectiontype.searchresults","Search Results"
"action.redirectiontype.xmlxsltransform","XML/XSL Transform"
"action.refreshyourwindow","Refresh your window."
"action.removesorting","Remove Sorting"
"action.renameworklist","Rename"
"action.reset","Reset"
